
> trainhub@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.9 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.107:3000
- Environments: .env
✓ Ready in 757ms
- Experiments (use with caution):
  · cpus: 2

 GET /login?redirect=%2Fadmin 200 in 2.6s (next.js: 2.2s, proxy.ts: 184ms, application-code: 246ms)
 GET /login?redirect=%2F.well-known%2Fappspecific%2Fcom.chrome.devtools.json 200 in 51ms (next.js: 5ms, proxy.ts: 8ms, application-code: 38ms)
 GET /api/auth/me 401 in 1103ms (next.js: 1077ms, proxy.ts: 7ms, application-code: 19ms)
 GET /login?redirect=%2Fadmin 200 in 295ms (next.js: 42ms, proxy.ts: 63ms, application-code: 190ms)
 GET /login?redirect=%2Fadmin 200 in 168ms (next.js: 6ms, proxy.ts: 10ms, application-code: 152ms)
 GET /login?redirect=%2Fadmin 200 in 39ms (next.js: 6ms, proxy.ts: 14ms, application-code: 19ms)
 GET /login?redirect=%2Fadmin 200 in 153ms (next.js: 4ms, proxy.ts: 116ms, application-code: 33ms)
 GET /login?redirect=%2Fadmin 200 in 36ms (next.js: 4ms, proxy.ts: 13ms, application-code: 19ms)
 GET /login?redirect=%2Fadmin 200 in 47ms (next.js: 9ms, proxy.ts: 17ms, application-code: 22ms)
 GET /login?redirect=%2Fadmin 200 in 41ms (next.js: 5ms, proxy.ts: 13ms, application-code: 22ms)
 GET /login?redirect=%2Fadmin 200 in 174ms (next.js: 5ms, proxy.ts: 13ms, application-code: 156ms)
 GET /login?redirect=%2Fadmin 200 in 44ms (next.js: 5ms, proxy.ts: 12ms, application-code: 26ms)
 GET /login?redirect=%2Fadmin 200 in 38ms (next.js: 5ms, proxy.ts: 11ms, application-code: 23ms)
 GET /login?redirect=%2Fadmin 200 in 152ms (next.js: 6ms, proxy.ts: 7ms, application-code: 140ms)
 GET /login?redirect=%2Fadmin 200 in 41ms (next.js: 4ms, proxy.ts: 11ms, application-code: 26ms)
 GET /login?redirect=%2Fadmin 200 in 155ms (next.js: 8ms, proxy.ts: 123ms, application-code: 24ms)
 GET /login?redirect=%2Fadmin 200 in 174ms (next.js: 6ms, proxy.ts: 11ms, application-code: 157ms)
 GET /login?redirect=%2Fadmin 200 in 39ms (next.js: 7ms, proxy.ts: 10ms, application-code: 22ms)
